鳥獣の種類,鳥獣名,福井市（狩猟）,福井市（有害）,福井市（合計）,永平寺町（狩猟）,永平寺町（有害）,永平寺町（合計）,あわら市（狩猟）,あわら市（有害）,あわら市（合計）,坂井市（狩猟）,坂井市（有害）,坂井市（合計）,大野市（狩猟）,大野市（有害）,大野市（合計）,勝山市（狩猟）,勝山市（有害）,勝山市（合計）,越前市（狩猟）,越前市（有害）,越前市（合計）,鯖江市（狩猟）,鯖江市（有害）,鯖江市（合計）,池田町（狩猟）,池田町（有害）,池田町（合計）,南越前町（狩猟）,南越前町（有害）,南越前町（合計）,越前町（狩猟）,越前町（有害）,越前町（合計）,敦賀市（狩猟）,敦賀市（有害）,敦賀市（合計）,美浜町（狩猟）,美浜町（有害）,美浜町（合計）,若狭町（狩猟）,若狭町（有害）,若狭町（合計）,小浜市（狩猟）,小浜市（有害）,小浜市（合計）,高浜町（狩猟）,高浜町（有害）,高浜町（合計）,おおい町（狩猟）,おおい町（有害）,おおい町（合計）,地域不明（狩猟）,地域不明（有害）,地域不明（合計）
鳥類,カワウ,4,3,7,1,,1,,,,,,,2,178,180,,,,,,,,,,,,,12,,12,11,,11,,,,,,,1,1,2,,,,,,,,3,3,9,,9
鳥類,ゴイサギ,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,アオサギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,2,2,,,,,,,,3,3,,,
鳥類,マガモ,104,,104,8,,8,30,,30,72,,72,24,,24,19,,19,191,,191,18,,18,1,,1,49,,49,76,,76,3,,3,1,,1,9,,9,2,,2,3,,3,2,,2,55,,55
鳥類,カルガモ,158,113,271,16,,16,35,,35,180,16,196,34,,34,19,,19,56,,56,35,,35,21,,21,16,3,19,39,,39,3,,3,5,,5,7,,7,8,,8,12,,12,4,,4,29,,29
鳥類,コガモ,9,9,6,6,1,1,,,,13,,13,7,,7,9,,9,26,,26,,,,12,,12,19,,19,9,,9,,,,1,,1,3,,3,5,,5,1,,1,2,,2,13,,13
鳥類,ヨシガモ,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,ヒドリガモ,,,,3,,3,,,,6,,6,1,,1,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,ホシハジロ,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,ウズラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
鳥類,ヤマドリ,49,,49,4,,4,,,,10,,10,9,,9,10,,10,11,,11,6,,6,4,,4,21,,21,3,,3,4,,4,,,,2,,2,1,,1,,,,3,,3,2,,2
鳥類,キジ,152,,152,6,,6,31,,31,130,,130,14,,14,8,,8,24,,24,25,,25,6,,6,4,,4,9,,9,7,,7,7,,7,5,,5,1,,1,1,,1,,,,88,,88
鳥類,バン,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
鳥類,ヤマシギ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,タシギ,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥類,キジバト,23,,23,,,,3,,3,5,,5,,,,,,,6,,6,,,,,,,6,,6,1,,1,3,,3,1,,1,,,,,,,,,,1,,1,,,
鳥類,ヒヨドリ,15,,15,,,,,,,4,,4,,,,,,,6,,6,,,,1,,1,65,,65,12,,12,27,,27,5,,5,21,,21,,,,,,,1,,1,13,,13
鳥類,スズメ,20,,20,8,,8,,,,5,,5,,,,,,,3,,3,15,,15,,,,22,,22,,,,12,,12,6,,6,2,,2,,,,,,,,,,9,,9
鳥類,ムクドリ,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
鳥類,ハシボソガラス,1,,1,4,,4,,,,2,,2,6,,6,,,,,,,2,,2,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,1,,1
鳥類,ハシブトガラス,12,,12,,,,29,,29,20,,20,,,,,,,42,,42,5,,5,7,,7,11,,11,4,,4,10,,10,1,,1,,,,,,,,,,1,,1,9,,9
鳥類,ドバト,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,6,6,,,,,10,10,,,,,,,,4,4,,,,,,,,,
鳥類,カラス類,34,1416,1450,,1,1,,86,86,,403,403,,255,255,,304,304,,238,238,,,,,61,61,,13,13,1,,1,,46,46,,,,,48,48,,35,35,,,,,23,23,4,,4
鳥類,鳥類（種不明）,34,,34,11,,11,5,,5,30,,30,47,,47,3,,3,25,,25,,,,,,,5,,5,1,,1,5,,5,,,,8,,8,,,,,,,,,,24,,24
獣類,ニホンザル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,46,46,,109,109,,129,129,,193,193,,47,47,,53,53,,,
獣類,ニホンノウサギ,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
獣類,ヌ−トリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,10,10,,,
獣類,ツキノワグマ,3,2,5,,,,,,,,,,,,,11,2,13,,,,,,,2,,2,5,,5,,,,,,,,,,,1,1,,,,,,,,,,,,
獣類,アライグマ,,62,62,4,19,23,,8,8,,13,13,,1,1,,4,4,1,45,46,,2,2,,,,,,,,65,65,,6,6,,5,5,2,18,20,,40,40,,19,19,,28,28,4,,4
獣類,タヌキ,7,2,9,,6,6,,2,2,5,,5,4,,4,5,,5,,,,,,,,,,,5,5,,,,2,,2,4,,4,,,,,24,24,,,,,40,40,1,,1
獣類,キツネ,3,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,
獣類,ホンドテン,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,13,13,,,
獣類,イタチ（オス）,,,,,3,3,,,,,,,,1,1,,,,5,,5,,,,,,,,2,2,,,,,,,,,,,,,,19,19,,,,,3,3,,,
獣類,アナグマ,,65,65,,21,21,2,7,9,,,,,1,1,,,,1,,1,,,,,,,,2,2,1,,1,,9,9,2,,2,,49,49,,21,21,,4,4,,10,10,,,
獣類,ハクビシン,,143,143,,54,54,1,24,25,,46,46,,10,10,1,2,3,,23,23,,32,32,,,,,20,20,,28,28,,81,81,,23,23,,76,76,,47,47,,9,9,,63,63,,,
獣類,イノシシ,673,1115,1788,52,355,407,53,120,173,97,79,176,195,103,298,214,74,288,304,95,399,108,65,173,98,35,133,222,61,283,261,333,594,80,602,682,32,394,426,11,553,564,14,150,164,28,184,212,10,400,410,69,,69
獣類,ニホンジカ（オス）,32,13,45,1,,1,1,,1,,,,37,50,87,,,,12,,12,,,,1,,1,11,1,12,12,,12,30,154,184,40,347,387,100,366,466,20,563,583,8,23,31,18,583,601,14,,14
獣類,イタチ（性不明）,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,2,2,,,
獣類,ニホンジカ（性不明）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,10,10,,,,,107,107,17,,17
獣類,イタチ（メス）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,8,8,,,,,2,2,,,
獣類,ニホンジカ（メス）,36,16,52,,,,3,,3,,,,28,21,49,,,,6,,6,,,,2,,2,6,1,7,26,,26,25,154,179,51,646,697,55,875,930,11,1107,1118,8,31,39,13,847,860,19,,19
鳥類の卵,トビの卵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
鳥類の卵,カラス類の卵,,53,53,,,,,1,1,,9,9,,,,,10,10,,389,389,,291,291,,7,7,,41,41,,50,50,,104,104,,,,,95,95,,66,66,,,,,34,34,,,
―,合計,1370,3006,4376,125,462,587,197,248,445,579,585,1164,409,620,1029,300,396,696,728,790,1518,214,390,604,155,103,258,474,174,648,466,476,942,214,1221,1435,156,1524,1680,230,2213,2443,62,2321,2383,61,340,401,55,2227,2282,382,,382
